policy,normal_workers,contention_workers,assumed_batches_per_phase,reconfiguration_ms,total_runtime_s,improvement_vs_fixed
fixed_normal_optimum,8,8,5000,0.0,180.16215000000633,0.0
phase_aware_oracle_with_startup_cost,8,6,5000,17792.8936,156.2777436000029,0.1325717216407697
