source_id,repo,commit_sha,path,bytes,sha256
monai_compose,Project-MONAI/MONAI,3ee058bdd16dd4a566d23d3f84687c3c35268a36,monai/transforms/compose.py,40409,f7c34f7029db1df1e7a00d40f6636db73b16f77e4ea26df903944879ee4ad647
mmdet_transforms,open-mmlab/mmdetection,cfd5d3a985b0249de009b67d04f37263e11cdf3d,mmdet/datasets/transforms/transforms.py,148684,ee346a579cc839a45a9d3c54be19237a25342f4dae4a02bb315172b390c85b94
dali_pipeline,NVIDIA/DALI,1a8328edbc8db6786d764e309d519a3926171d19,dali/python/nvidia/dali/pipeline.py,107168,431fa42d345af771e58f3291a21795b10aec0b7aa464035882ae4fd7fed10d4c
