profile,median_atomic_over_direct,min_ratio,max_ratio,atomic_faster_rounds,rounds
B1x3x32x32,1.4081960218196286,1.2312378019953207,1.526531081456503,0,10
B4x3x64x64,1.259160463771451,1.1001170139716083,1.3232711467288112,0,10
B8x3x128x128,1.1003075523134205,1.062670783510597,1.1490932655109576,0,10
