mode,pipeline,position,left,right,base_input_kind,input_kind,prefix,oracle_safe,accepted,validator_evidence,oracle_evidence
runtime,geometry,0,center_crop,resize,float,float,,False,False,trial=0:value_or_signature_mismatch,trial=1000:value_or_signature_mismatch
runtime,geometry,1,resize,random_rotation,float,float,center_crop,False,False,trial=0:value_or_signature_mismatch,trial=1000:value_or_signature_mismatch
runtime,geometry,2,random_rotation,random_sharpness,float,float,center_crop>resize,False,False,trial=0:value_or_signature_mismatch,trial=1002:value_or_signature_mismatch
runtime,geometry,3,random_sharpness,variable_blur,float,float,center_crop>resize>random_rotation,False,False,trial=0:value_or_signature_mismatch,trial=1002:value_or_signature_mismatch
runtime,geometry,4,variable_blur,normalize,float,float,center_crop>resize>random_rotation>random_sharpness,True,True,no_counterexample_in_8_trials,no_counterexample_in_48_trials
runtime,equivariant,0,identity,hflip,float,float,,True,True,no_counterexample_in_8_trials,no_counterexample_in_48_trials
runtime,equivariant,1,hflip,vflip,float,float,identity,True,True,no_counterexample_in_8_trials,no_counterexample_in_48_trials
runtime,equivariant,2,vflip,random_grayscale,float,float,identity>hflip,True,True,no_counterexample_in_8_trials,no_counterexample_in_48_trials
runtime,equivariant,3,random_grayscale,random_invert,float,float,identity>hflip>vflip,False,False,trial=0:value_or_signature_mismatch,trial=1001:value_or_signature_mismatch
runtime,equivariant,4,random_invert,rgb,float,float,identity>hflip>vflip>random_grayscale,True,True,no_counterexample_in_8_trials,no_counterexample_in_48_trials
runtime,warps,0,random_affine,random_perspective,float,float,,False,False,trial=0:value_or_signature_mismatch,trial=1000:value_or_signature_mismatch
runtime,warps,1,random_perspective,resize,float,float,random_affine,False,False,trial=0:value_or_signature_mismatch,trial=1000:value_or_signature_mismatch
runtime,warps,2,resize,color_jitter,float,float,random_affine>random_perspective,False,False,trial=0:value_or_signature_mismatch,trial=1000:value_or_signature_mismatch
runtime,warps,3,color_jitter,normalize,float,float,random_affine>random_perspective>resize,False,False,trial=0:value_or_signature_mismatch,trial=1000:value_or_signature_mismatch
runtime,dtype_boundary,0,to_float,normalize,uint8,uint8,,False,False,trial=0:exception:TypeError,trial=1000:exception:TypeError
runtime,dtype_boundary,1,normalize,hflip,uint8,float,to_float,True,True,no_counterexample_in_8_trials,no_counterexample_in_48_trials
runtime,dtype_boundary,2,hflip,color_jitter,uint8,float,to_float>normalize,True,True,no_counterexample_in_8_trials,no_counterexample_in_48_trials
runtime,uint8_photo,0,random_posterize,random_equalize,uint8,uint8,,False,False,trial=0:value_or_signature_mismatch,trial=1000:value_or_signature_mismatch
