public_symbol,configuration,phase,expected_decision,actual_decision,decision_correct,coarse_reason,coarse_reason_match,reachable_methods,guards,state_accesses,sampling_rng,delegation,validator_reasons,classified
kornia.augmentation._2d.geometric.horizontal_flip.RandomHorizontalFlip,kornia.params_provided,replay_apply,admit,admit,True,none,True,_BasicAugmentationBase.forward;_BasicAugmentationBase.__unpack_input__;AugmentationBase2D.transform_tensor;_BasicAugmentationBase._process_kwargs_to_params_and_flags;RigidAffineAugmentationBase2D.apply_func;_BasicAugmentationBase.transform_output_tensor;RigidAffineAugmentationBase2D.generate_transformation_matrix;_AugmentationBase.transform_inputs;RigidAffineAugmentationBase2D.identity_matrix;RandomHorizontalFlip.compute_transformation;AugmentationBase2D.validate_tensor;RandomHorizontalFlip.apply_transform;_AugmentationBase.apply_non_transform,params is None=False;'batch_prob' not in params=unknown;shape is None=unknown;save_kwargs=unknown;flags is None=unknown;not to_apply.any()=unknown;to_apply.all()=unknown;is_autocast_enabled()=unknown;len(input.shape) != 4=unknown,attribute:self._params;attribute:self._transform_matrix,False,none,none,True
kornia.augmentation._2d.geometric.horizontal_flip.RandomHorizontalFlip,kornia.params_absent,sample_apply,reject,reject,True,sampling_rng,True,_BasicAugmentationBase.forward;_BasicAugmentationBase.__unpack_input__;AugmentationBase2D.transform_tensor;_BasicAugmentationBase.forward_parameters;_BasicAugmentationBase._process_kwargs_to_params_and_flags;RigidAffineAugmentationBase2D.apply_func;_BasicAugmentationBase.transform_output_tensor;_BasicAugmentationBase.__batch_prob_generator__;_BasicAugmentationBase.generate_parameters;RigidAffineAugmentationBase2D.generate_transformation_matrix;_AugmentationBase.transform_inputs;RigidAffineAugmentationBase2D.identity_matrix;RandomHorizontalFlip.compute_transformation;AugmentationBase2D.validate_tensor;RandomHorizontalFlip.apply_transform;_AugmentationBase.apply_non_transform,"params is None=True;'batch_prob' not in params=unknown;shape is None=unknown;_params is None=unknown;save_kwargs=unknown;flags is None=unknown;p_batch == 1=unknown;p_batch == 0=unknown;isinstance(self._p_batch_gen, (RelaxedBernoulli,))=unknown;batch_prob.sum() == 1=unknown;p == 1=unknown;p == 0=unknown;isinstance(self._p_gen, (RelaxedBernoulli,))=unknown;len(batch_prob.shape) == 2=unknown;self._param_generator is not None=unknown;not to_apply.any()=unknown;to_apply.all()=unknown;is_autocast_enabled()=unknown;len(input.shape) != 4=unknown",attribute:self._params;attribute:self._transform_matrix,True,none,reachable_sampling_rng,True
kornia.augmentation._2d.intensity.gaussian_blur.RandomGaussianBlur,kornia.params_provided,replay_apply,admit,admit,True,none,True,_BasicAugmentationBase.forward;_BasicAugmentationBase.__unpack_input__;AugmentationBase2D.transform_tensor;_BasicAugmentationBase._process_kwargs_to_params_and_flags;RigidAffineAugmentationBase2D.apply_func;_BasicAugmentationBase.transform_output_tensor;RigidAffineAugmentationBase2D.generate_transformation_matrix;_AugmentationBase.transform_inputs;RigidAffineAugmentationBase2D.identity_matrix;IntensityAugmentationBase2D.compute_transformation;AugmentationBase2D.validate_tensor;RandomGaussianBlur.apply_transform;IntensityAugmentationBase2D.apply_non_transform,params is None=False;'batch_prob' not in params=unknown;shape is None=unknown;save_kwargs=unknown;flags is None=unknown;not to_apply.any()=unknown;to_apply.all()=unknown;is_autocast_enabled()=unknown;len(input.shape) != 4=unknown,attribute:self._params;attribute:self._transform_matrix,False,none,none,True
kornia.augmentation._2d.intensity.gaussian_blur.RandomGaussianBlur,kornia.params_absent,sample_apply,reject,reject,True,sampling_rng,True,_BasicAugmentationBase.forward;_BasicAugmentationBase.__unpack_input__;AugmentationBase2D.transform_tensor;_BasicAugmentationBase.forward_parameters;_BasicAugmentationBase._process_kwargs_to_params_and_flags;RigidAffineAugmentationBase2D.apply_func;_BasicAugmentationBase.transform_output_tensor;_BasicAugmentationBase.__batch_prob_generator__;_BasicAugmentationBase.generate_parameters;RigidAffineAugmentationBase2D.generate_transformation_matrix;_AugmentationBase.transform_inputs;RigidAffineAugmentationBase2D.identity_matrix;IntensityAugmentationBase2D.compute_transformation;AugmentationBase2D.validate_tensor;RandomGaussianBlur.apply_transform;IntensityAugmentationBase2D.apply_non_transform,"params is None=True;'batch_prob' not in params=unknown;shape is None=unknown;_params is None=unknown;save_kwargs=unknown;flags is None=unknown;p_batch == 1=unknown;p_batch == 0=unknown;isinstance(self._p_batch_gen, (RelaxedBernoulli,))=unknown;batch_prob.sum() == 1=unknown;p == 1=unknown;p == 0=unknown;isinstance(self._p_gen, (RelaxedBernoulli,))=unknown;len(batch_prob.shape) == 2=unknown;self._param_generator is not None=unknown;not to_apply.any()=unknown;to_apply.all()=unknown;is_autocast_enabled()=unknown;len(input.shape) != 4=unknown",attribute:self._params;attribute:self._transform_matrix,True,none,reachable_sampling_rng,True
kornia.augmentation._2d.intensity.color_jiggle.ColorJiggle,kornia.params_provided,replay_apply,admit,admit,True,none,True,_BasicAugmentationBase.forward;_BasicAugmentationBase.__unpack_input__;AugmentationBase2D.transform_tensor;_BasicAugmentationBase._process_kwargs_to_params_and_flags;RigidAffineAugmentationBase2D.apply_func;_BasicAugmentationBase.transform_output_tensor;RigidAffineAugmentationBase2D.generate_transformation_matrix;_AugmentationBase.transform_inputs;RigidAffineAugmentationBase2D.identity_matrix;IntensityAugmentationBase2D.compute_transformation;AugmentationBase2D.validate_tensor;ColorJiggle.apply_transform;IntensityAugmentationBase2D.apply_non_transform,params is None=False;'batch_prob' not in params=unknown;shape is None=unknown;save_kwargs=unknown;flags is None=unknown;not to_apply.any()=unknown;to_apply.all()=unknown;is_autocast_enabled()=unknown;len(input.shape) != 4=unknown,attribute:self._params;attribute:self._transform_matrix,False,none,none,True
kornia.augmentation._2d.intensity.color_jiggle.ColorJiggle,kornia.params_absent,sample_apply,reject,reject,True,sampling_rng,True,_BasicAugmentationBase.forward;_BasicAugmentationBase.__unpack_input__;AugmentationBase2D.transform_tensor;_BasicAugmentationBase.forward_parameters;_BasicAugmentationBase._process_kwargs_to_params_and_flags;RigidAffineAugmentationBase2D.apply_func;_BasicAugmentationBase.transform_output_tensor;_BasicAugmentationBase.__batch_prob_generator__;_BasicAugmentationBase.generate_parameters;RigidAffineAugmentationBase2D.generate_transformation_matrix;_AugmentationBase.transform_inputs;RigidAffineAugmentationBase2D.identity_matrix;IntensityAugmentationBase2D.compute_transformation;AugmentationBase2D.validate_tensor;ColorJiggle.apply_transform;IntensityAugmentationBase2D.apply_non_transform,"params is None=True;'batch_prob' not in params=unknown;shape is None=unknown;_params is None=unknown;save_kwargs=unknown;flags is None=unknown;p_batch == 1=unknown;p_batch == 0=unknown;isinstance(self._p_batch_gen, (RelaxedBernoulli,))=unknown;batch_prob.sum() == 1=unknown;p == 1=unknown;p == 0=unknown;isinstance(self._p_gen, (RelaxedBernoulli,))=unknown;len(batch_prob.shape) == 2=unknown;self._param_generator is not None=unknown;not to_apply.any()=unknown;to_apply.all()=unknown;is_autocast_enabled()=unknown;len(input.shape) != 4=unknown",attribute:self._params;attribute:self._transform_matrix,True,none,reachable_sampling_rng,True
kornia.augmentation._2d.geometric.affine.RandomAffine,kornia.params_provided,replay_apply,admit,admit,True,none,True,_BasicAugmentationBase.forward;_BasicAugmentationBase.__unpack_input__;AugmentationBase2D.transform_tensor;_BasicAugmentationBase._process_kwargs_to_params_and_flags;RigidAffineAugmentationBase2D.apply_func;_BasicAugmentationBase.transform_output_tensor;RigidAffineAugmentationBase2D.generate_transformation_matrix;_AugmentationBase.transform_inputs;RigidAffineAugmentationBase2D.identity_matrix;RandomAffine.compute_transformation;AugmentationBase2D.validate_tensor;RandomAffine.apply_transform;_AugmentationBase.apply_non_transform,"params is None=False;'batch_prob' not in params=unknown;shape is None=unknown;save_kwargs=unknown;flags is None=unknown;not to_apply.any()=unknown;to_apply.all()=unknown;is_autocast_enabled()=unknown;len(input.shape) != 4=unknown;not isinstance(transform, torch.Tensor)=unknown",attribute:self._params;attribute:self._transform_matrix,False,none,none,True
kornia.augmentation._2d.geometric.affine.RandomAffine,kornia.params_absent,sample_apply,reject,reject,True,sampling_rng,True,_BasicAugmentationBase.forward;_BasicAugmentationBase.__unpack_input__;AugmentationBase2D.transform_tensor;_BasicAugmentationBase.forward_parameters;_BasicAugmentationBase._process_kwargs_to_params_and_flags;RigidAffineAugmentationBase2D.apply_func;_BasicAugmentationBase.transform_output_tensor;_BasicAugmentationBase.__batch_prob_generator__;_BasicAugmentationBase.generate_parameters;RigidAffineAugmentationBase2D.generate_transformation_matrix;_AugmentationBase.transform_inputs;RigidAffineAugmentationBase2D.identity_matrix;RandomAffine.compute_transformation;AugmentationBase2D.validate_tensor;RandomAffine.apply_transform;_AugmentationBase.apply_non_transform,"params is None=True;'batch_prob' not in params=unknown;shape is None=unknown;_params is None=unknown;save_kwargs=unknown;flags is None=unknown;p_batch == 1=unknown;p_batch == 0=unknown;isinstance(self._p_batch_gen, (RelaxedBernoulli,))=unknown;batch_prob.sum() == 1=unknown;p == 1=unknown;p == 0=unknown;isinstance(self._p_gen, (RelaxedBernoulli,))=unknown;len(batch_prob.shape) == 2=unknown;self._param_generator is not None=unknown;not to_apply.any()=unknown;to_apply.all()=unknown;is_autocast_enabled()=unknown;len(input.shape) != 4=unknown;not isinstance(transform, torch.Tensor)=unknown",attribute:self._params;attribute:self._transform_matrix,True,none,reachable_sampling_rng,True
kornia.augmentation.container.image.ImageSequential,kornia.params_provided,replay_apply,reject,reject,True,child,True,ImageSequentialBase.forward;BasicSequentialBase.clear_state;ImageSequentialBase.transform_inputs;BasicSequentialBase.get_submodule,"params is None=False;len(target) == 0=unknown;not hasattr(mod, item)=unknown;not isinstance(mod, nn.Module)=unknown",attribute:self._params,False,child_operator,unresolved_child_effect,True
