candidate_id,rewrite_kind,profile,expected_calls,h7j_atomic_median_ms,h7k_registered_median_ms,saving_per_call_ms,registration_ms,measured_break_even_calls,amortized_net_benefit_ms,semantic_eligible,cost_eligible,selected,decision_reasons,contract_sha256,profile_rows_sha256
registered-replay:B1x3x32x32:h1,registered_parameter_replay,B1x3x32x32,1,14.149175,11.037524999999999,3.111650000000001,8.3367,2.6791894975334625,-5.2250499999999995,True,False,False,non_positive_amortized_benefit,c838d8468d22bf0700eb38681262d31a65de65e5ad794788403df83366a5f476,46778eac1b447775610072d8570d28c7c7394797a0a25ceacddddbff0bc8beca
registered-replay:B1x3x32x32:h10,registered_parameter_replay,B1x3x32x32,10,14.149175,11.037524999999999,3.111650000000001,8.3367,2.6791894975334625,22.77980000000001,True,True,True,none,c838d8468d22bf0700eb38681262d31a65de65e5ad794788403df83366a5f476,46778eac1b447775610072d8570d28c7c7394797a0a25ceacddddbff0bc8beca
registered-replay:B4x3x64x64:h1,registered_parameter_replay,B4x3x64x64,1,16.563000000000002,14.07145,2.491550000000002,10.1944,4.091589572755912,-7.702849999999998,True,False,False,non_positive_amortized_benefit,c838d8468d22bf0700eb38681262d31a65de65e5ad794788403df83366a5f476,46778eac1b447775610072d8570d28c7c7394797a0a25ceacddddbff0bc8beca
registered-replay:B4x3x64x64:h10,registered_parameter_replay,B4x3x64x64,10,16.563000000000002,14.07145,2.491550000000002,10.1944,4.091589572755912,14.72110000000002,True,True,True,none,c838d8468d22bf0700eb38681262d31a65de65e5ad794788403df83366a5f476,46778eac1b447775610072d8570d28c7c7394797a0a25ceacddddbff0bc8beca
registered-replay:B8x3x128x128:h1,registered_parameter_replay,B8x3x128x128,1,52.164,46.423925,5.7400750000000045,8.1809,1.425225280157488,-2.440824999999995,True,False,False,non_positive_amortized_benefit,c838d8468d22bf0700eb38681262d31a65de65e5ad794788403df83366a5f476,46778eac1b447775610072d8570d28c7c7394797a0a25ceacddddbff0bc8beca
registered-replay:B8x3x128x128:h10,registered_parameter_replay,B8x3x128x128,10,52.164,46.423925,5.7400750000000045,8.1809,1.425225280157488,49.219850000000044,True,True,True,none,c838d8468d22bf0700eb38681262d31a65de65e5ad794788403df83366a5f476,46778eac1b447775610072d8570d28c7c7394797a0a25ceacddddbff0bc8beca
