profile,median_h7l_over_h7k,min_ratio,max_ratio,median_absolute_overhead_ms,h7l_faster_rounds,rounds
B1x3x32x32,1.3841275430049793,1.3005830023459457,1.5557671647621838,3.655100000000001,0,10
B4x3x64x64,1.127266594454777,0.8785306736255473,1.306664775447244,1.9736250000000002,3,10
B8x3x128x128,1.0923378513710997,1.0252123116960072,1.2685413261670724,5.130699999999997,0,10
