policy,normal_workers,contention_workers,normal_batch_ms,contention_batch_ms,two_phase_mean_batch_ms
fixed_normal_optimum,6,6,6.83162500000023,13.727808333333277,10.279716666666754
phase_aware_oracle,6,6,6.83162500000023,13.727808333333277,10.279716666666754
