policy,normal_batches,contention_batches,initial_workers,final_workers,switched,baseline_median_ms,detected_contention_median_ms,detected_shift_ratio,initial_startup_ms,reconfiguration_ms,final_shutdown_ms_not_charged,mean_normal_batch_ms,mean_contention_batch_ms,total_charged_runtime_s
fixed_8,300,3000,8,8,0,8.736449999999785,25.44295000000041,1.9122755810427616,6204.811000000001,0.0,862.7266999999961,10.858344333333346,27.67642009999997,92.49157459999992
change_aware,300,3000,8,8,0,8.165449999999908,19.51299999999634,1.389702955746047,6628.92939999999,38463.64189999999,853.3553999999981,8.604583000000284,25.48309436666701,124.12322930000103
