public_symbol,expected_decision,actual_decision,decision_correct,expected_coarse_reason,coarse_reason_match,classified,status,record_scope,delegation_kind,execution_state_attrs,validator_reasons,source_binding_sha256,evidence
audiomentations.Normalize,admit,admit,True,none,True,True,resolved,fixed_fields,none,none,none,522eaa4b5b9ccf281c3af93679518f62de3b5f6466b586d46e7c82e454fad458,entrypoint:waveform-__call__->randomize_parameters/apply;record_scope:fixed_fields:samples+sample_rate;delegation:none;external_audio_operand:false
audiomentations.PolarityInversion,admit,admit,True,none,True,True,resolved,fixed_fields,none,none,none,7686bdc6a62b10f5310850b66a6d8efaad70aa5ccb3f7c2f88fe8965c6f4d76a,entrypoint:waveform-__call__->randomize_parameters/apply;record_scope:fixed_fields:samples+sample_rate;delegation:none;external_audio_operand:false
audiomentations.AddGaussianNoise,admit,admit,True,none,True,True,resolved,fixed_fields,none,none,none,7fe5ab9f217af5b135f380eac5f87c9ed5651ab4d4d7c1de5c7c1cc944e1941d,entrypoint:waveform-__call__->randomize_parameters/apply;record_scope:fixed_fields:samples+sample_rate;delegation:none;external_audio_operand:false
audiomentations.Clip,admit,admit,True,none,True,True,resolved,fixed_fields,none,none,none,f3b7e623c4d3a310e6b8ece25f331bec37d02c0f64cf52c7ee697b32fd99cc9c,entrypoint:waveform-__call__->randomize_parameters/apply;record_scope:fixed_fields:samples+sample_rate;delegation:none;external_audio_operand:false
audiomentations.Lambda,reject,reject,True,unresolved_user_callable,True,True,unknown,fixed_fields,user_callable,none,unresolved_user_callable,dc240b0b35f7b2697aff8523f06933682a34adbf502c8fa632f01a9f53942da5,entrypoint:waveform-__call__->randomize_parameters/apply;record_scope:fixed_fields:samples+sample_rate;delegation:user_callable;external_audio_operand:false
audiomentations.Compose,reject,reject,True,unresolved_child_effect,True,True,unknown,fixed_fields,child_operator,none,unresolved_child_effect,0dd4e0b4bee0dd019f5d2fa9143afee18f5299a1ac955709922a4b2145955341,entrypoint:waveform-__call__->randomize_parameters/apply;record_scope:fixed_fields:samples+sample_rate;delegation:child_operator;external_audio_operand:false
audiomentations.AddBackgroundNoise,reject,reject,True,execution_external_effect,True,True,unknown,fixed_fields,user_callable,none,unresolved_user_callable;execution_external_effect,878d87c4e7bce4389b537a6c4f180bb3adb1a16b7d3488ea6f456ffe9ecf1aa4,entrypoint:waveform-__call__->randomize_parameters/apply;record_scope:fixed_fields:samples+sample_rate;delegation:user_callable;external_audio_operand:true
