scenario,num_workers,measured_batches,batch_size,mean_batch_ms,p95_batch_ms,mean_input_wait_ms,p95_input_wait_ms,mean_gpu_step_ms,input_stall_ratio,samples_per_s,loader_startup_ms,system_cpu_percent
normal,0,12,24,44.410575000000044,50.470094999999795,40.05224166666673,45.77386999999988,4.356508333333379,0.9018627132539196,540.411827588361,73.0309,48.7
normal,2,12,24,21.41450833333325,28.366564999998722,16.465450000000104,23.54850499999932,4.947533333333236,0.7688922735793297,1120.735513812486,4543.2502,67.9
normal,4,12,24,9.351591666666733,19.922845000000493,4.119924999999765,15.502664999999098,5.230216666666306,0.4405586927715231,2566.4080357086978,5828.590600000002,81.2
normal,6,12,24,6.83162500000023,10.674939999998223,0.27355000000047386,0.43492500000166245,6.556641666666252,0.04004171774657781,3513.073390298676,6311.8561,93.0
cpu_memory_contention,0,12,24,71.26624166666703,90.85586499999998,64.44630000000018,83.02769500000053,6.8181250000002676,0.9043033348304559,336.76533852107696,68.50569999999934,97.5
cpu_memory_contention,2,12,24,54.29958333333277,80.0379750000026,43.111249999999046,68.8195950000015,11.184199999999459,0.793951764516293,441.99234186880346,8625.778499999999,94.3
cpu_memory_contention,4,12,24,19.45462500000102,37.682910000002664,4.258250000000648,18.173405000000628,15.188500000000715,0.21888111438798868,1233.6398157249878,16613.353699999996,97.2
cpu_memory_contention,6,12,24,13.727808333333277,24.015790000001395,0.5005666666638339,1.0374349999942465,13.223800000002228,0.036463698684398096,1748.2761572161687,19122.708899999998,93.2
