batch,size,round,order,iterations,direct_copy_ms,atomic_ms,atomic_over_direct
1,32,0,atomic->direct,10,6.6831,9.17775,1.3732773712797954
1,32,1,direct->atomic,10,6.3319,8.3556,1.3196039103586603
1,32,2,atomic->direct,10,5.122450000000001,7.0823,1.3826001229880232
1,32,3,atomic->direct,10,5.0868,7.3708,1.4490052685381771
1,32,4,direct->atomic,10,5.21935,7.967499999999999,1.526531081456503
1,32,5,atomic->direct,10,6.5594,9.287099999999999,1.4158459615208705
1,32,6,atomic->direct,10,8.2493,10.156849999999999,1.2312378019953207
1,32,7,direct->atomic,10,6.8938500000000005,9.8248,1.4251543041986696
1,32,8,direct->atomic,10,7.0891,10.27945,1.4500359707156056
1,32,9,direct->atomic,10,6.79385,9.5151,1.4005460821183866
4,64,0,atomic->direct,10,11.213899999999999,14.41315,1.2852932521245954
4,64,1,atomic->direct,10,11.92915,15.785499999999999,1.3232711467288112
4,64,2,direct->atomic,10,12.421949999999999,15.905349999999999,1.280422960968286
4,64,3,direct->atomic,10,12.0861,14.883849999999999,1.231484928967988
4,64,4,atomic->direct,10,13.519449999999999,15.3672,1.136673459349308
4,64,5,atomic->direct,10,14.14685,17.8446,1.2613832761356767
4,64,6,direct->atomic,10,14.271799999999999,15.70065,1.1001170139716083
4,64,7,direct->atomic,10,12.6066,15.66485,1.2425911823965223
4,64,8,atomic->direct,10,13.02245,16.859650000000002,1.2946603749678443
4,64,9,atomic->direct,10,15.232099999999999,19.1458,1.2569376514072257
8,128,0,atomic->direct,10,52.661699999999996,55.962050000000005,1.062670783510597
8,128,1,direct->atomic,10,51.0672,58.30485,1.141727958454742
8,128,2,direct->atomic,10,52.2203,58.33185,1.117033988697882
8,128,3,direct->atomic,10,50.76025,57.9423,1.1414896498736709
8,128,4,atomic->direct,10,52.223150000000004,57.6432,1.103786347625526
8,128,5,direct->atomic,10,51.310500000000005,58.96055,1.1490932655109576
8,128,6,direct->atomic,10,55.275999999999996,59.130700000000004,1.0697355090816993
8,128,7,direct->atomic,10,53.356049999999996,58.52245,1.0968287570013149
8,128,8,direct->atomic,10,48.849599999999995,52.05625,1.0656433215420393
8,128,9,atomic->direct,10,49.353899999999996,52.9196,1.0722475832710283
