public_symbol,expected_decision,actual_decision,decision_correct,expected_coarse_reason,coarse_reason_match,classified,status,state_roles,required_modes,super_resolution,validator_reasons,source_binding_sha256,evidence
imgaug.augmenters.arithmetic.Multiply,admit,admit,True,none,True,True,resolved,replayable,framework_specific,complete,none,1c30c9716abfad5e486fd50474ea18e475e6b35bba35097da770316f768387a0,entrypoint:Augmenter.augment_batch_->_augment_batch_;record_scope:whole_record:Batch;delegation:none;rng_consumed:true;mode_guard:imgaug_deterministic:true;external_attrs:none;state_paths:container_mutation:self.random_state
imgaug.augmenters.blur.AverageBlur,admit,admit,True,none,True,True,resolved,replayable,framework_specific,complete,none,dca529fcde27c01f9a48fb17355f9be6d7eae0ece2d5f6607012706d0d37bd1f,entrypoint:Augmenter.augment_batch_->_augment_batch_;record_scope:whole_record:Batch;delegation:none;rng_consumed:true;mode_guard:imgaug_deterministic:true;external_attrs:none;state_paths:container_mutation:self.random_state
imgaug.augmenters.geometric.Affine,admit,admit,True,none,True,True,resolved,replayable,framework_specific,complete,none,9cf7dfa7e0317bed338920186fbe500757d51419ca0d4b37e8370538a395c3d3,entrypoint:Augmenter.augment_batch_->_augment_batch_;record_scope:whole_record:Batch;delegation:none;rng_consumed:true;mode_guard:imgaug_deterministic:true;external_attrs:none;state_paths:container_mutation:self.random_state
imgaug.augmenters.size.CropToFixedSize,admit,admit,True,none,True,True,resolved,replayable,framework_specific,complete,none,d2327573f8ec7594447b9d02ade0b25cdaab35366f52ce3a1b9eb18bbe9d485b,entrypoint:Augmenter.augment_batch_->_augment_batch_;record_scope:whole_record:Batch;delegation:none;rng_consumed:true;mode_guard:imgaug_deterministic:true;external_attrs:none;state_paths:container_mutation:self.random_state
imgaug.augmenters.contrast.LinearContrast,admit,reject,False,none,False,True,unknown,replayable,framework_specific,complete,unresolved_user_callable,2bc9c970b36d195d9d4b8779d62b0348a8518d0b67d15c54e9c3e201bd6e4d91,entrypoint:Augmenter.augment_batch_->_augment_batch_;record_scope:whole_record:Batch;delegation:user_callable;rng_consumed:true;mode_guard:imgaug_deterministic:true;external_attrs:none;state_paths:container_mutation:self.random_state
imgaug.augmenters.meta.SomeOf,reject,reject,True,child,True,True,unknown,replayable,framework_specific,complete,unresolved_child_effect,e8745a185c06f3306f28cc1388b7dee4d4e9b20347a622d7e9506bada92810e4,entrypoint:Augmenter.augment_batch_->_augment_batch_;record_scope:whole_record:Batch;delegation:child_operator;rng_consumed:true;mode_guard:imgaug_deterministic:true;external_attrs:none;state_paths:container_mutation:self.random_state
imgaug.augmenters.meta.WithChannels,reject,reject,True,child,True,True,unknown,none,none,complete,unresolved_child_effect,4600830348c45e0d57de9cd97fb490a489850d6d8794236c9873f3b30d63eea3,entrypoint:Augmenter.augment_batch_->_augment_batch_;record_scope:whole_record:Batch;delegation:child_operator;rng_consumed:false;mode_guard:imgaug_deterministic:false;external_attrs:none;state_paths:none
imgaug.augmenters.meta.AssertLambda,reject,reject,True,user_callable,True,True,unknown,replayable,framework_specific,complete,unresolved_user_callable,808efe4cb8d045329be405e6692fb2515ef07d463097e146251c946ad37f1f7a,entrypoint:Augmenter.augment_batch_->_augment_batch_;record_scope:whole_record:Batch;delegation:user_callable;rng_consumed:true;mode_guard:imgaug_deterministic:true;external_attrs:none;state_paths:container_mutation:self.random_state
