context,module_path,public_symbol,configuration,phase,admitted,reasons,analysis_sha256,proof_sha256
replay,RandomHorizontalFlip_0,kornia.augmentation._2d.geometric.horizontal_flip.RandomHorizontalFlip,kornia.params_provided,replay_apply,True,none,007be56bd53908574afe17aff85bb5a44f4b96d81f8effa0b87902eeef7b2360,9aebe31eccc0e26c5fd23895b6e4cdfc8a3dff375386937045f6b7505c5180e7
replay,RandomAffine_1,kornia.augmentation._2d.geometric.affine.RandomAffine,kornia.params_provided,replay_apply,True,none,20ce75a0ccf1913bb625bd35220682874d5e758152275fecc3c35f0bfd8a4e26,586292cf10bbc2798e99c481602935ab3d37dd0bef786df7fc19ab9c2aa24216
replay,ColorJiggle_2,kornia.augmentation._2d.intensity.color_jiggle.ColorJiggle,kornia.params_provided,replay_apply,True,none,cc86c6a35b8012ea9d663f2c51628864c4ab50a2b5560f90528be8ac222af44a,c398f438236aea356f2e69fdfc52f7008fb13f22c5615eb7f0efa6beb77a05d8
sample,RandomHorizontalFlip_0,kornia.augmentation._2d.geometric.horizontal_flip.RandomHorizontalFlip,kornia.params_absent,sample_apply,False,reachable_sampling_rng;leaf_proof_configuration_mismatch;leaf_proof_decision_mismatch,83715036e8344272c9de36861166b072d8797295a4a4bc5421aa6d15047f692f,9aebe31eccc0e26c5fd23895b6e4cdfc8a3dff375386937045f6b7505c5180e7
sample,RandomAffine_1,kornia.augmentation._2d.geometric.affine.RandomAffine,kornia.params_absent,sample_apply,False,reachable_sampling_rng;leaf_proof_configuration_mismatch;leaf_proof_decision_mismatch,a9c74500f9e187618a7bf6db8c536c3767ced6534930e5c989aab778f5b6650d,586292cf10bbc2798e99c481602935ab3d37dd0bef786df7fc19ab9c2aa24216
sample,ColorJiggle_2,kornia.augmentation._2d.intensity.color_jiggle.ColorJiggle,kornia.params_absent,sample_apply,False,reachable_sampling_rng;leaf_proof_configuration_mismatch;leaf_proof_decision_mismatch,a273e69b3c2047fd2cda13be336bf6e633ea9c4f2a379959947daa7742ea75a4,c398f438236aea356f2e69fdfc52f7008fb13f22c5615eb7f0efa6beb77a05d8
