public_symbol,expected_decision,actual_decision,decision_correct,expected_coarse_reason,coarse_reason_match,classified,status,state_accesses,callable_origins,named_modes,super_resolution,validator_reasons,source_binding_sha256,evidence
albumentations.core.transforms_interface.NoOp,admit,admit,True,none,True,True,resolved,attribute:self.params;delegated_mutation:self.py_random,ensure_contiguous_output=module_bound,albumentations.replay,complete,none,12ce74b0531d15f067a16a3c6270fa6b62bab1a494a3751a009ebe7c385a4ed3,entrypoint:BasicTransform/BaseCompose.__call__;record_scope:whole_record:kwargs;delegation:none;replay_guard:true;rng_paths:self.py_random;callable_origins:ensure_contiguous_output=module_bound
albumentations.augmentations.pixel.transforms.Normalize,admit,admit,True,none,True,True,resolved,attribute:self.params;delegated_mutation:self.py_random,ensure_contiguous_output=module_bound,albumentations.replay,complete,none,e03ec09e480e082f0b0f256bf3396cd66d8b91624fd44da362f0a385d946b4de,entrypoint:BasicTransform/BaseCompose.__call__;record_scope:whole_record:kwargs;delegation:none;replay_guard:true;rng_paths:self.py_random;callable_origins:ensure_contiguous_output=module_bound
albumentations.augmentations.geometric.flip.HorizontalFlip,admit,admit,True,none,True,True,resolved,attribute:self.params;delegated_mutation:self.py_random,ensure_contiguous_output=module_bound,albumentations.replay,complete,none,4aded92c5b9707f443c6d617b7c7934cdb98f3348e8dcff2008680c25b0ac987,entrypoint:BasicTransform/BaseCompose.__call__;record_scope:whole_record:kwargs;delegation:none;replay_guard:true;rng_paths:self.py_random;callable_origins:ensure_contiguous_output=module_bound
albumentations.augmentations.pixel.transforms.RandomBrightnessContrast,admit,admit,True,none,True,True,resolved,attribute:self.params;delegated_mutation:self.py_random,ensure_contiguous_output=module_bound,albumentations.replay,complete,none,6c2118144dd2e3dda6d18f6598159d39b8ec0d7277b194ed8fa78d1874c2cc9d,entrypoint:BasicTransform/BaseCompose.__call__;record_scope:whole_record:kwargs;delegation:none;replay_guard:true;rng_paths:self.py_random;callable_origins:ensure_contiguous_output=module_bound
albumentations.core.composition.Compose,reject,reject,True,child,True,True,unknown,delegated_mutation:self.py_random,none,albumentations.replay,complete,unresolved_child_effect,46bcb2f29b14dd15ce741171b56a904b56c6baf57812ee96ac2d4ab0ac575a52,entrypoint:BasicTransform/BaseCompose.__call__;record_scope:whole_record:kwargs;delegation:child_operator;replay_guard:true;rng_paths:self.py_random;callable_origins:none
albumentations.core.composition.ReplayCompose,reject,reject,True,child,True,True,unknown,none,none,none,complete,unresolved_child_effect,6116ba2f47ae952a9ef5ffdb07bde5aec16981b96efb90397fb834d73fdb6540,entrypoint:BasicTransform/BaseCompose.__call__;record_scope:whole_record:kwargs;delegation:child_operator;replay_guard:true;rng_paths:none;callable_origins:none
albumentations.augmentations.other.lambda_transform.Lambda,reject,reject,True,user_callable,True,True,unknown,attribute:self.params;delegated_mutation:self.py_random,ensure_contiguous_output=module_bound;self.custom_apply_fns[*]=public_input,albumentations.replay,complete,unresolved_user_callable;unresolved_callable_origin:public_input,adde07825d289b36b9010a7ec4792c5ddf3c54f521840491739ca61b62bb71e2,"entrypoint:BasicTransform/BaseCompose.__call__;record_scope:whole_record:kwargs;delegation:user_callable;replay_guard:true;rng_paths:self.py_random;callable_origins:ensure_contiguous_output=module_bound,self.custom_apply_fns[*]=public_input"
