profile,median_minimal_over_h7j,median_audit_over_h7j,median_minimal_over_direct,median_audit_over_minimal,minimal_faster_than_h7j_rounds,rounds,registration_ms,break_even_calls_vs_h7j
B1x3x32x32,0.8189827949544675,0.834465905960089,1.1385077708139888,1.0142369484216676,10,10,8.3367,2.6791894975334625
B4x3x64x64,0.8190174222315381,0.8250609979857497,1.0527726836818423,0.9967142833885044,9,10,10.1944,4.091589572755912
B8x3x128x128,0.9045968567838274,0.9125669151984868,1.0263444908742927,1.0366386256246707,10,10,8.1809,1.425225280157488
