policy,global_batch,phase,workers,batch_ms,input_wait_ms,gpu_step_ms
fixed_8,0,normal,8,9.388699999998806,0.2542999999999296,9.134399999998877
fixed_8,1,normal,8,7.286500000001084,0.24280000000054258,7.043700000000541
fixed_8,2,normal,8,11.105199999999371,0.2964999999992557,10.808700000000115
fixed_8,3,normal,8,12.63009999999909,0.2631999999991308,12.366899999999958
fixed_8,4,normal,8,8.440300000000178,0.25109999999983756,8.18920000000034
fixed_8,5,normal,8,8.829499999999157,0.48149999999935744,8.3479999999998
fixed_8,6,normal,8,8.176500000001141,0.2714000000008099,7.905100000000331
fixed_8,7,normal,8,6.901300000000887,0.2875000000006622,6.613800000000225
fixed_8,8,normal,8,20.93670000000003,0.4758999999996405,20.46080000000039
fixed_8,9,normal,8,24.7591000000007,0.22470000000041068,24.53440000000029
fixed_8,10,normal,8,11.52749999999969,0.1458000000003068,11.381699999999384
fixed_8,11,normal,8,7.779700000000389,0.12940000000050134,7.650299999999888
fixed_8,12,normal,8,38.65350000000056,0.1774999999994975,38.476000000001065
fixed_8,13,normal,8,7.330999999998866,0.9761999999984283,6.354800000000438
fixed_8,14,normal,8,19.394099999999526,0.20009999999892614,19.1940000000006
fixed_8,15,normal,8,8.30950000000108,0.36590000000025213,7.943600000000828
fixed_8,16,normal,8,7.321300000000974,0.249600000000072,7.071700000000902
fixed_8,17,normal,8,7.8022000000004255,0.21970000000059997,7.5824999999998255
fixed_8,18,normal,8,5.897900000000789,0.2513000000003984,5.64660000000039
fixed_8,19,normal,8,7.912400000000375,0.1838000000002893,7.728600000000085
fixed_8,20,normal,8,21.786399999999873,0.3650000000003928,21.42139999999948
fixed_8,21,normal,8,12.099100000000362,0.22539999999970917,11.873700000000653
fixed_8,22,normal,8,7.42620000000116,0.2959000000011258,7.130300000000034
fixed_8,23,normal,8,8.914300000000708,1.2986999999995419,7.615600000001166
fixed_8,24,normal,8,5.991100000001026,0.23990000000040368,5.7512000000006225
fixed_8,25,normal,8,9.24450000000121,0.20100000000056184,9.043500000000648
fixed_8,26,normal,8,8.893300000000437,0.2326000000003603,8.660700000000077
fixed_8,27,normal,8,6.865800000001698,0.27300000000174407,6.592799999999954
fixed_8,28,normal,8,7.480299999999218,0.15009999999904267,7.3302000000001755
fixed_8,29,normal,8,11.041699999999821,0.1879999999996329,10.853700000000188
fixed_8,30,normal,8,22.33739999999962,13.7520999999996,8.585300000000018
fixed_8,31,normal,8,7.306199999998597,0.2697999999998757,7.0363999999987215
fixed_8,32,normal,8,8.878199999999836,0.1908999999997718,8.687300000000064
fixed_8,33,normal,8,5.638100000000534,0.6329000000011575,5.005199999999377
fixed_8,34,normal,8,7.18680000000127,0.29020000000024027,6.89660000000103
fixed_8,35,normal,8,13.29510000000056,0.29930000000000234,12.995800000000557
fixed_8,36,normal,8,6.906100000000137,0.1917000000002389,6.714399999999898
fixed_8,37,normal,8,29.853599999999147,0.4273999999995226,29.426199999999625
fixed_8,38,normal,8,19.542200000000065,12.524599999998998,7.017600000001067
fixed_8,39,normal,8,6.432799999998906,0.22039999999989845,6.212399999999008
fixed_8,40,normal,8,8.379599999999598,0.22169999999910317,8.157900000000495
fixed_8,41,normal,8,5.937899999999274,0.2133999999998082,5.724499999999466
fixed_8,42,normal,8,7.242699999999047,0.16160000000020602,7.081099999998841
fixed_8,43,normal,8,6.171600000000055,0.207700000000699,5.963899999999356
fixed_8,44,normal,8,6.1080000000011125,0.18140000000066436,5.926600000000448
fixed_8,45,normal,8,7.404600000000983,0.16950000000015564,7.235100000000827
fixed_8,46,normal,8,58.76340000000013,40.224600000000166,18.538799999999966
fixed_8,47,normal,8,7.735900000000129,0.15579999999992822,7.580100000000201
fixed_8,48,normal,8,5.863299999999683,0.30220000000014124,5.561099999999541
fixed_8,49,normal,8,12.885600000000608,0.1726000000008554,12.712999999999752
fixed_8,50,normal,8,11.451600000000894,0.14200000000030855,11.309600000000586
fixed_8,51,normal,8,6.589099999999348,0.2086999999999506,6.380399999999398
fixed_8,52,normal,8,11.75899999999963,0.14769999999941774,11.611300000000213
fixed_8,53,normal,8,5.569500000000005,0.19870000000032917,5.370799999999676
fixed_8,54,normal,8,49.90649999999874,42.65099999999933,7.255499999999415
fixed_8,55,normal,8,10.725199999999546,0.1629000000011871,10.56229999999836
fixed_8,56,normal,8,8.652500000000174,0.16360000000048558,8.488899999999688
fixed_8,57,normal,8,7.8606000000007725,0.16960000000132425,7.690999999999448
fixed_8,58,normal,8,5.152100000000104,0.21150000000069724,4.940599999999407
fixed_8,59,normal,8,8.169699999999835,0.16510000000025116,8.004599999999584
fixed_8,60,normal,8,8.709700000000709,0.23350000000021964,8.476200000000489
fixed_8,61,normal,8,8.913200000000288,0.21619999999877848,8.697000000001509
fixed_8,62,normal,8,21.058299999999974,5.75000000000081,15.308299999999164
fixed_8,63,normal,8,7.314600000000837,0.2872000000007091,7.027400000000128
fixed_8,64,normal,8,6.780900000000756,0.18040000000141276,6.600499999999343
fixed_8,65,normal,8,12.826800000000915,0.2497000000012406,12.577099999999675
fixed_8,66,normal,8,5.921500000001245,0.2214000000009264,5.700100000000319
fixed_8,67,normal,8,9.579300000000401,0.14269999999960703,9.436600000000794
fixed_8,68,normal,8,7.331600000000549,0.23679999999970391,7.094800000000845
fixed_8,69,normal,8,7.144300000000214,0.328800000000129,6.815500000000085
fixed_8,70,normal,8,66.76600000000121,41.59489999999977,25.171100000001445
fixed_8,71,normal,8,7.431900000000269,1.3395999999996633,6.092300000000606
fixed_8,72,normal,8,8.759799999999984,0.622100000001069,8.137699999998915
fixed_8,73,normal,8,11.79480000000055,0.15889999999885163,11.635900000001698
fixed_8,74,normal,8,7.729600000001113,0.14170000000035543,7.587900000000758
fixed_8,75,normal,8,19.498399999999805,0.2830999999989814,19.215300000000823
fixed_8,76,normal,8,6.8448000000014275,0.17220000000151003,6.6725999999999175
fixed_8,77,normal,8,7.150700000000398,0.13620000000003074,7.014500000000368
fixed_8,78,normal,8,12.346499999999594,6.116500000000968,6.2299999999986255
fixed_8,79,normal,8,8.661099999999422,0.16749999999987608,8.493599999999546
fixed_8,80,normal,8,8.211899999999162,1.3815999999984285,6.830300000000733
fixed_8,81,normal,8,10.739399999998511,0.17759999999888976,10.561799999999621
fixed_8,82,normal,8,8.604999999999308,0.18090000000015038,8.424099999999157
fixed_8,83,normal,8,6.414299999999429,0.22270000000013113,6.191599999999298
fixed_8,84,normal,8,5.687199999998782,0.17339999999954614,5.513799999999236
fixed_8,85,normal,8,9.639899999999813,0.17149999999865884,9.468400000001154
fixed_8,86,normal,8,19.91040000000055,12.926900000000074,6.983500000000475
fixed_8,87,normal,8,10.910199999999648,0.2051000000005132,10.705099999999135
fixed_8,88,normal,8,25.9942000000013,0.327400000001532,25.666799999999768
fixed_8,89,normal,8,7.20139999999958,0.17199999999917281,7.0294000000004075
fixed_8,90,normal,8,9.627000000000052,0.564599999998805,9.062400000001247
fixed_8,91,normal,8,8.064100000000352,0.1832999999997753,7.880800000000576
fixed_8,92,normal,8,12.286299999999528,0.2911000000000996,11.995199999999429
fixed_8,93,normal,8,8.519099999999113,0.20020000000009475,8.318899999999019
fixed_8,94,normal,8,10.193900000000866,0.2580000000005356,9.93590000000033
fixed_8,95,normal,8,7.3079000000007,0.31020000000125947,6.9976999999994405
fixed_8,96,normal,8,15.883999999999787,0.16240000000067312,15.721599999999114
fixed_8,97,normal,8,11.717400000000211,3.210200000001606,8.507199999998605
fixed_8,98,normal,8,7.651400000000308,0.5924999999997738,7.058900000000534
fixed_8,99,normal,8,6.315700000000035,0.19390000000107932,6.121799999998956
