policy,normal_workers,contention_workers,assumed_batches_per_phase,reconfiguration_ms,total_runtime_s,improvement_vs_fixed
fixed_normal_optimum,8,8,5000,0.0,187.1749999999967,0.0
phase_aware_oracle_with_startup_cost,8,6,5000,10209.381999999998,172.7396319999993,0.07712230800052167
