policy,normal_workers,contention_workers,assumed_batches_per_phase,reconfiguration_ms,total_runtime_s,improvement_vs_fixed
fixed_normal_optimum,7,7,5000,0.0,161.96717499999778,0.0
phase_aware_oracle_with_startup_cost,7,7,5000,23409.594699999994,185.37676969999777,-0.14453295675497402
