policy,total_batch_s,normalized_cost,remote_worker_s,reconfigurations
one_shot_stable,326.04503851859005,1.6171833910522064,0.0,0
change_aware,220.0724818125948,1.378905183278036,672.4383270754766,3
phase_oracle,210.39421295796274,1.3211497971874933,649.618905117718,0
