public_symbol,expected_decision,actual_decision,decision_correct,expected_coarse_reason,coarse_reason_match,classified,status,state_roles,required_modes,super_resolution,validator_reasons,source_binding_sha256,evidence
imgaug.augmenters.meta.Identity,admit,admit,True,none,True,True,resolved,none,none,complete,none,7ff6c14996aebe1c4751d290da642227fb14168431c30edf9f2499a1f49c591b,entrypoint:Augmenter.augment_batch_->_augment_batch_;record_scope:whole_record:Batch;delegation:none;rng_consumed:false;mode_guard:imgaug_deterministic:false;external_attrs:none;state_paths:none
imgaug.augmenters.flip.Fliplr,admit,admit,True,none,True,True,resolved,replayable,framework_specific,complete,none,42e481776e77b8f4dc7bd503ebf9de511617c5800aad4a69b3653cc59859b5ac,entrypoint:Augmenter.augment_batch_->_augment_batch_;record_scope:whole_record:Batch;delegation:none;rng_consumed:true;mode_guard:imgaug_deterministic:true;external_attrs:none;state_paths:container_mutation:self.random_state
imgaug.augmenters.arithmetic.Add,admit,admit,True,none,True,True,resolved,replayable,framework_specific,complete,none,fecf7d5f299e7abf992a1e4b11050e744cb92a9a2b1264799cf9579766694655,entrypoint:Augmenter.augment_batch_->_augment_batch_;record_scope:whole_record:Batch;delegation:none;rng_consumed:true;mode_guard:imgaug_deterministic:true;external_attrs:none;state_paths:container_mutation:self.random_state
imgaug.augmenters.blur.GaussianBlur,admit,admit,True,none,True,True,resolved,replayable,framework_specific,complete,none,b793eeec9aef206f8ee164ccf81ebf90ff8e0c8ae584bef84257c4d32e490489,entrypoint:Augmenter.augment_batch_->_augment_batch_;record_scope:whole_record:Batch;delegation:none;rng_consumed:true;mode_guard:imgaug_deterministic:true;external_attrs:none;state_paths:container_mutation:self.random_state
imgaug.augmenters.meta.Sequential,reject,reject,True,child,True,True,unknown,replayable,framework_specific,complete,unresolved_child_effect,6676214752f9bdeac80a86d1e452e761d23f11c16559f0e2a623a06ea6bee6f6,entrypoint:Augmenter.augment_batch_->_augment_batch_;record_scope:whole_record:Batch;delegation:child_operator;rng_consumed:true;mode_guard:imgaug_deterministic:true;external_attrs:none;state_paths:container_mutation:self.random_state
imgaug.augmenters.meta.Sometimes,reject,reject,True,child,True,True,unknown,replayable,framework_specific,complete,unresolved_child_effect,ec755a60103e701bfb00e4d98dcb554716de8d9958c1dccb13ede7d0acdf05dd,entrypoint:Augmenter.augment_batch_->_augment_batch_;record_scope:whole_record:Batch;delegation:child_operator;rng_consumed:true;mode_guard:imgaug_deterministic:true;external_attrs:none;state_paths:container_mutation:self.random_state
imgaug.augmenters.meta.Lambda,reject,reject,True,user_callable,True,True,unknown,replayable,framework_specific,complete,unresolved_user_callable,50eccb8e38b8858a91c2ab6aea574dec1ba64755c1ef51764789c6f8928617ee,entrypoint:Augmenter.augment_batch_->_augment_batch_;record_scope:whole_record:Batch;delegation:user_callable;rng_consumed:true;mode_guard:imgaug_deterministic:true;external_attrs:none;state_paths:container_mutation:self.random_state
imgaug.augmenters.debug.SaveDebugImageEveryNBatches,reject,reject,True,external_effect,True,True,resolved,none,none,complete,execution_external_effect,b02db80cd5b634bb4ca10a83f61db5bc912d2aff61330947d8179c3957dfd911,entrypoint:Augmenter.augment_batch_->_augment_batch_;record_scope:whole_record:Batch;delegation:none;rng_consumed:false;mode_guard:imgaug_deterministic:false;external_attrs:destination;state_paths:none
