scenario,num_workers,measured_batches,batch_size,mean_batch_ms,p95_batch_ms,mean_input_wait_ms,p95_input_wait_ms,mean_gpu_step_ms,input_stall_ratio,samples_per_s,loader_startup_ms,system_cpu_percent
normal,6,40,24,10.349724999999976,22.50727,3.7343874999998583,17.556680000000206,6.613557499999968,0.3608199734775433,2318.902193053444,6196.817099999999,87.6
normal,7,40,24,10.095244999999853,26.156729999999758,3.112627499999565,19.2614400000016,6.98111499999996,0.30832609807880945,2377.3568645436885,7339.640299999999,93.6
cpu_memory_contention,6,40,24,24.936987500000463,70.2523800000051,8.983142500000696,48.576210000000515,15.950314999999728,0.36023366896264153,962.4257942142993,26343.3916,100.0
cpu_memory_contention,7,40,24,22.298189999999707,51.88024499999527,2.220629999998991,7.126195000009229,20.0737299999993,0.09958790377151779,1076.3205444029454,23409.594699999994,99.1
