public_symbol,configuration,phase,expected_decision,actual_decision,decision_correct,coarse_reason,coarse_reason_match,reachable_methods,guards,state_accesses,sampling_rng,delegation,validator_reasons,classified
kornia.augmentation._2d.geometric.vertical_flip.RandomVerticalFlip,kornia.params_provided,replay_apply,admit,admit,True,none,True,_BasicAugmentationBase.forward;_BasicAugmentationBase.__unpack_input__;AugmentationBase2D.transform_tensor;_BasicAugmentationBase._process_kwargs_to_params_and_flags;RigidAffineAugmentationBase2D.apply_func;_BasicAugmentationBase.transform_output_tensor;RigidAffineAugmentationBase2D.generate_transformation_matrix;_AugmentationBase.transform_inputs;RigidAffineAugmentationBase2D.identity_matrix;RandomVerticalFlip.compute_transformation;AugmentationBase2D.validate_tensor;RandomVerticalFlip.apply_transform;_AugmentationBase.apply_non_transform,params is None=False;'batch_prob' not in params=unknown;shape is None=unknown;save_kwargs=unknown;flags is None=unknown;not to_apply.any()=unknown;to_apply.all()=unknown;is_autocast_enabled()=unknown;len(input.shape) != 4=unknown,attribute:self._params;attribute:self._transform_matrix,False,none,none,True
kornia.augmentation._2d.geometric.vertical_flip.RandomVerticalFlip,kornia.params_absent,sample_apply,reject,reject,True,sampling_rng,True,_BasicAugmentationBase.forward;_BasicAugmentationBase.__unpack_input__;AugmentationBase2D.transform_tensor;_BasicAugmentationBase.forward_parameters;_BasicAugmentationBase._process_kwargs_to_params_and_flags;RigidAffineAugmentationBase2D.apply_func;_BasicAugmentationBase.transform_output_tensor;_BasicAugmentationBase.__batch_prob_generator__;_BasicAugmentationBase.generate_parameters;RigidAffineAugmentationBase2D.generate_transformation_matrix;_AugmentationBase.transform_inputs;RigidAffineAugmentationBase2D.identity_matrix;RandomVerticalFlip.compute_transformation;AugmentationBase2D.validate_tensor;RandomVerticalFlip.apply_transform;_AugmentationBase.apply_non_transform,"params is None=True;'batch_prob' not in params=unknown;shape is None=unknown;_params is None=unknown;save_kwargs=unknown;flags is None=unknown;p_batch == 1=unknown;p_batch == 0=unknown;isinstance(self._p_batch_gen, (RelaxedBernoulli,))=unknown;batch_prob.sum() == 1=unknown;p == 1=unknown;p == 0=unknown;isinstance(self._p_gen, (RelaxedBernoulli,))=unknown;len(batch_prob.shape) == 2=unknown;self._param_generator is not None=unknown;not to_apply.any()=unknown;to_apply.all()=unknown;is_autocast_enabled()=unknown;len(input.shape) != 4=unknown",attribute:self._params;attribute:self._transform_matrix,True,none,reachable_sampling_rng,True
kornia.augmentation._2d.intensity.posterize.RandomPosterize,kornia.params_provided,replay_apply,admit,admit,True,none,True,_BasicAugmentationBase.forward;_BasicAugmentationBase.__unpack_input__;AugmentationBase2D.transform_tensor;_BasicAugmentationBase._process_kwargs_to_params_and_flags;RigidAffineAugmentationBase2D.apply_func;_BasicAugmentationBase.transform_output_tensor;RigidAffineAugmentationBase2D.generate_transformation_matrix;_AugmentationBase.transform_inputs;RigidAffineAugmentationBase2D.identity_matrix;IntensityAugmentationBase2D.compute_transformation;AugmentationBase2D.validate_tensor;RandomPosterize.apply_transform;IntensityAugmentationBase2D.apply_non_transform,params is None=False;'batch_prob' not in params=unknown;shape is None=unknown;save_kwargs=unknown;flags is None=unknown;not to_apply.any()=unknown;to_apply.all()=unknown;is_autocast_enabled()=unknown;len(input.shape) != 4=unknown,attribute:self._params;attribute:self._transform_matrix,False,none,none,True
kornia.augmentation._2d.intensity.posterize.RandomPosterize,kornia.params_absent,sample_apply,reject,reject,True,sampling_rng,True,_BasicAugmentationBase.forward;_BasicAugmentationBase.__unpack_input__;AugmentationBase2D.transform_tensor;_BasicAugmentationBase.forward_parameters;_BasicAugmentationBase._process_kwargs_to_params_and_flags;RigidAffineAugmentationBase2D.apply_func;_BasicAugmentationBase.transform_output_tensor;_BasicAugmentationBase.__batch_prob_generator__;_BasicAugmentationBase.generate_parameters;RigidAffineAugmentationBase2D.generate_transformation_matrix;_AugmentationBase.transform_inputs;RigidAffineAugmentationBase2D.identity_matrix;IntensityAugmentationBase2D.compute_transformation;AugmentationBase2D.validate_tensor;RandomPosterize.apply_transform;IntensityAugmentationBase2D.apply_non_transform,"params is None=True;'batch_prob' not in params=unknown;shape is None=unknown;_params is None=unknown;save_kwargs=unknown;flags is None=unknown;p_batch == 1=unknown;p_batch == 0=unknown;isinstance(self._p_batch_gen, (RelaxedBernoulli,))=unknown;batch_prob.sum() == 1=unknown;p == 1=unknown;p == 0=unknown;isinstance(self._p_gen, (RelaxedBernoulli,))=unknown;len(batch_prob.shape) == 2=unknown;self._param_generator is not None=unknown;not to_apply.any()=unknown;to_apply.all()=unknown;is_autocast_enabled()=unknown;len(input.shape) != 4=unknown",attribute:self._params;attribute:self._transform_matrix,True,none,reachable_sampling_rng,True
kornia.augmentation._2d.intensity.solarize.RandomSolarize,kornia.params_provided,replay_apply,admit,admit,True,none,True,_BasicAugmentationBase.forward;_BasicAugmentationBase.__unpack_input__;AugmentationBase2D.transform_tensor;_BasicAugmentationBase._process_kwargs_to_params_and_flags;RigidAffineAugmentationBase2D.apply_func;_BasicAugmentationBase.transform_output_tensor;RigidAffineAugmentationBase2D.generate_transformation_matrix;_AugmentationBase.transform_inputs;RigidAffineAugmentationBase2D.identity_matrix;IntensityAugmentationBase2D.compute_transformation;AugmentationBase2D.validate_tensor;RandomSolarize.apply_transform;IntensityAugmentationBase2D.apply_non_transform,params is None=False;'batch_prob' not in params=unknown;shape is None=unknown;save_kwargs=unknown;flags is None=unknown;not to_apply.any()=unknown;to_apply.all()=unknown;is_autocast_enabled()=unknown;len(input.shape) != 4=unknown;'additions' in params=unknown,attribute:self._params;attribute:self._transform_matrix,False,none,none,True
kornia.augmentation._2d.intensity.solarize.RandomSolarize,kornia.params_absent,sample_apply,reject,reject,True,sampling_rng,True,_BasicAugmentationBase.forward;_BasicAugmentationBase.__unpack_input__;AugmentationBase2D.transform_tensor;_BasicAugmentationBase.forward_parameters;_BasicAugmentationBase._process_kwargs_to_params_and_flags;RigidAffineAugmentationBase2D.apply_func;_BasicAugmentationBase.transform_output_tensor;_BasicAugmentationBase.__batch_prob_generator__;_BasicAugmentationBase.generate_parameters;RigidAffineAugmentationBase2D.generate_transformation_matrix;_AugmentationBase.transform_inputs;RigidAffineAugmentationBase2D.identity_matrix;IntensityAugmentationBase2D.compute_transformation;AugmentationBase2D.validate_tensor;RandomSolarize.apply_transform;IntensityAugmentationBase2D.apply_non_transform,"params is None=True;'batch_prob' not in params=unknown;shape is None=unknown;_params is None=unknown;save_kwargs=unknown;flags is None=unknown;p_batch == 1=unknown;p_batch == 0=unknown;isinstance(self._p_batch_gen, (RelaxedBernoulli,))=unknown;batch_prob.sum() == 1=unknown;p == 1=unknown;p == 0=unknown;isinstance(self._p_gen, (RelaxedBernoulli,))=unknown;len(batch_prob.shape) == 2=unknown;self._param_generator is not None=unknown;not to_apply.any()=unknown;to_apply.all()=unknown;is_autocast_enabled()=unknown;len(input.shape) != 4=unknown;'additions' in params=unknown",attribute:self._params;attribute:self._transform_matrix,True,none,reachable_sampling_rng,True
kornia.augmentation._2d.intensity.motion_blur.RandomMotionBlur,kornia.params_provided,replay_apply,admit,admit,True,none,True,_BasicAugmentationBase.forward;_BasicAugmentationBase.__unpack_input__;AugmentationBase2D.transform_tensor;_BasicAugmentationBase._process_kwargs_to_params_and_flags;RigidAffineAugmentationBase2D.apply_func;_BasicAugmentationBase.transform_output_tensor;RigidAffineAugmentationBase2D.generate_transformation_matrix;_AugmentationBase.transform_inputs;RigidAffineAugmentationBase2D.identity_matrix;IntensityAugmentationBase2D.compute_transformation;AugmentationBase2D.validate_tensor;RandomMotionBlur.apply_transform;IntensityAugmentationBase2D.apply_non_transform,params is None=False;'batch_prob' not in params=unknown;shape is None=unknown;save_kwargs=unknown;flags is None=unknown;not to_apply.any()=unknown;to_apply.all()=unknown;is_autocast_enabled()=unknown;len(input.shape) != 4=unknown,attribute:self._params;attribute:self._transform_matrix,False,none,none,True
kornia.augmentation._2d.intensity.motion_blur.RandomMotionBlur,kornia.params_absent,sample_apply,reject,reject,True,sampling_rng,True,_BasicAugmentationBase.forward;_BasicAugmentationBase.__unpack_input__;AugmentationBase2D.transform_tensor;_BasicAugmentationBase.forward_parameters;_BasicAugmentationBase._process_kwargs_to_params_and_flags;RigidAffineAugmentationBase2D.apply_func;_BasicAugmentationBase.transform_output_tensor;_BasicAugmentationBase.__batch_prob_generator__;RandomMotionBlur.generate_parameters;RigidAffineAugmentationBase2D.generate_transformation_matrix;_AugmentationBase.transform_inputs;_BasicAugmentationBase.generate_parameters;RigidAffineAugmentationBase2D.identity_matrix;IntensityAugmentationBase2D.compute_transformation;AugmentationBase2D.validate_tensor;RandomMotionBlur.apply_transform;IntensityAugmentationBase2D.apply_non_transform,"params is None=True;'batch_prob' not in params=unknown;shape is None=unknown;_params is None=unknown;save_kwargs=unknown;flags is None=unknown;p_batch == 1=unknown;p_batch == 0=unknown;isinstance(self._p_batch_gen, (RelaxedBernoulli,))=unknown;batch_prob.sum() == 1=unknown;p == 1=unknown;p == 0=unknown;isinstance(self._p_gen, (RelaxedBernoulli,))=unknown;len(batch_prob.shape) == 2=unknown;not to_apply.any()=unknown;to_apply.all()=unknown;is_autocast_enabled()=unknown;self._param_generator is not None=unknown;len(input.shape) != 4=unknown",attribute:self._params;attribute:self._transform_matrix,True,none,reachable_sampling_rng,True
kornia.augmentation.container.augment.AugmentationSequential,kornia.params_provided,replay_apply,reject,reject,True,child,True,AugmentationSequential.forward;AugmentationSequential.clear_state;AugmentationSequential._preproc_dict_data;AugmentationSequential._validate_args_datakeys;AugmentationSequential._arguments_preproc;BasicSequentialBase.get_submodule;TransformMatrixMinIn._update_transform_matrix_by_module;AugmentationSequential._arguments_postproc;TransformMatrixMinIn._reset_transform_matrix_state;BasicSequentialBase.clear_state;AugmentationSequential._read_datakeys_from_dict;AugmentationSequential._preproc_mask;AugmentationSequential._preproc_keypoints;AugmentationSequential._preproc_boxes;AugmentationSequential._update_transform_matrix_for_valid_op;AugmentationSequential._postproc_mask;AugmentationSequential._postproc_keypoint;AugmentationSequential._postproc_boxes,"len(args) == 1 and isinstance(args[0], dict)=unknown;params is None=False;not isinstance(outputs, list | tuple)=unknown;isinstance(original_keys, tuple)=unknown;invalid_data=unknown;len(outputs) == 1 and isinstance(outputs, list)=unknown;self.data_keys is not None=unknown;len(args) != len(data_keys)=unknown;DataKey.get(dcate) in _IMG_OPTIONS=unknown;DataKey.get(dcate) in _MSK_OPTIONS=unknown;isinstance(inp, list)=unknown;DataKey.get(dcate) in _KEYPOINTS_OPTIONS=unknown;DataKey.get(dcate) in _BOXES_OPTIONS=unknown;DataKey.get(dcate) in _CLS_OPTIONS=unknown;len(target) == 0=unknown;not hasattr(mod, item)=unknown;not isinstance(mod, nn.Module)=unknown;self._transformation_matrix_arg == 'skip'=unknown;isinstance(module, self._valid_ops_for_transform_computation)=unknown;self._transformation_matrix_arg == 'rigid'=unknown;is_autocast_enabled() and isinstance(in_arg, torch.Tensor | Keypoints)=unknown;isinstance(_out_k, list)=unknown;is_autocast_enabled() and isinstance(in_arg, torch.Tensor | Boxes)=unknown;isinstance(_out_b, list)=unknown;isinstance(arg, list)=unknown;self.contains_video_sequential=unknown;not torch.is_floating_point(arg[0])=unknown;not torch.is_floating_point(arg)=unknown;self.contains_3d_augmentation=unknown;isinstance(arg, Keypoints)=unknown;DataKey.get(dcate) in [DataKey.BBOX]=unknown;DataKey.get(dcate) in [DataKey.BBOX_XYXY]=unknown;DataKey.get(dcate) in [DataKey.BBOX_XYWH]=unknown;isinstance(arg, Boxes)=unknown;isinstance(in_arg, Keypoints)=unknown;isinstance(in_arg, Boxes)=unknown",attribute:self._params;attribute:self._transform_matrices;container_mutation:self._transform_matrices;attribute:self._transform_matrix;attribute:self.input_dtype;attribute:self.mask_dtype;attribute:self.transform_op.data_keys,False,child_operator,unresolved_child_effect,True
