public_symbol,state_write_paths,state_read_paths,posthoc_state_role,proposed_obligation,formal_gate_impact
audiomentations.Normalize,self.parameters,self.__class__;self.__class__.__name__;self.apply;self.apply_to;self.are_parameters_frozen;self.is_multichannel;self.p;self.parameters;self.randomize_parameters;self.supports_mono;self.supports_multichannel,replayable_parameters,requires_parameters_unfrozen,none
audiomentations.PolarityInversion,self.parameters,self.__class__;self.__class__.__name__;self.apply;self.are_parameters_frozen;self.is_multichannel;self.p;self.parameters;self.randomize_parameters;self.supports_mono;self.supports_multichannel,replayable_parameters,requires_parameters_unfrozen,none
audiomentations.AddGaussianNoise,self.parameters,self.__class__;self.__class__.__name__;self.apply;self.are_parameters_frozen;self.is_multichannel;self.max_amplitude;self.min_amplitude;self.p;self.parameters;self.randomize_parameters;self.supports_mono;self.supports_multichannel,replayable_parameters,requires_parameters_unfrozen,none
audiomentations.Clip,self.parameters,self.__class__;self.__class__.__name__;self.a_max;self.a_min;self.apply;self.are_parameters_frozen;self.is_multichannel;self.p;self.parameters;self.randomize_parameters;self.supports_mono;self.supports_multichannel,replayable_parameters,requires_parameters_unfrozen,none
audiomentations.Lambda,self.parameters,self.__class__;self.__class__.__name__;self.apply;self.are_parameters_frozen;self.is_multichannel;self.kwargs;self.p;self.parameters;self.randomize_parameters;self.supports_mono;self.supports_multichannel;self.transform,replayable_parameters,requires_parameters_unfrozen,none
audiomentations.Compose,none,self.p;self.shuffle;self.transforms;self.transforms.copy,none,none,none
audiomentations.AddBackgroundNoise,self.parameters;self.time_info_arr,self.__class__;self.__class__.__name__;self.apply;self.are_parameters_frozen;self.is_multichannel;self.max_absolute_rms_db;self.max_snr_db;self.min_absolute_rms_db;self.min_snr_db;self.noise_rms;self.noise_transform;self.p;self.parameters;self.randomize_parameters;self.sound_file_paths;self.supports_mono;self.supports_multichannel;self.time_info_arr,replayable_parameters+other_state,requires_parameters_unfrozen+audit_other_state,none
