scope,candidate_id,workers,cache_state,horizon_epochs,semantic_admitted,predicted_saving_per_epoch_s,build_cost_s,predicted_net_benefit_s,selected,oracle_selected,decision_correct,raw_runtime_s,candidate_runtime_s,oracle_runtime_s,benefit_coverage,contract_sha256
H5a_profile,cache-prefix:h5a:w0:cold:h4,0,cold,4,True,2.237951748261039,11.5056856,-2.553878606955843,False,False,True,12.680495299999999,15.2246086,12.680495299999999,not_applicable,f545cdbe367fc96307b8f5e561b7bf3e2ce1b4e324974e273e1435c352c30338
H5a_profile,cache-prefix:h5a:w0:warm:h4,0,warm,4,True,2.237951748261039,0.0,8.951806993044157,True,True,True,12.680495299999999,3.718923,3.718923,1.0,f545cdbe367fc96307b8f5e561b7bf3e2ce1b4e324974e273e1435c352c30338
H5a_profile,cache-prefix:h5a:w2:cold:h4,2,cold,4,True,1.105507449228753,11.5056856,-7.083655803084987,False,False,True,17.384562049999996,24.18288605,17.384562049999996,not_applicable,f545cdbe367fc96307b8f5e561b7bf3e2ce1b4e324974e273e1435c352c30338
H5a_profile,cache-prefix:h5a:w2:warm:h4,2,warm,4,True,1.105507449228753,0.0,4.422029796915012,True,True,True,17.384562049999996,12.67720045,12.67720045,1.0,f545cdbe367fc96307b8f5e561b7bf3e2ce1b4e324974e273e1435c352c30338
H5a_profile,cache-prefix:h5a:w4:cold:h4,4,cold,4,True,0.6865620264857114,11.5056856,-8.759437494057154,False,False,True,25.921525699999997,33.71701075,25.921525699999997,not_applicable,f545cdbe367fc96307b8f5e561b7bf3e2ce1b4e324974e273e1435c352c30338
H5a_profile,cache-prefix:h5a:w4:warm:h4,4,warm,4,True,0.6865620264857114,0.0,2.7462481059428456,True,True,True,25.921525699999997,22.21132515,22.21132515,1.0,f545cdbe367fc96307b8f5e561b7bf3e2ce1b4e324974e273e1435c352c30338
