batch,size,round,order,iterations,direct_copy_ms,h7j_atomic_ms,h7k_minimal_ms,h7k_audit_ms,minimal_over_h7j,audit_over_h7j,minimal_over_direct,audit_over_minimal
1,32,0,h7k_minimal->h7k_audit->h7j->direct,10,8.73755,12.00775,11.015049999999999,10.225950000000001,0.9173283920801149,0.8516125002602487,1.2606565913785899,0.9283616506507009
1,32,1,h7k_minimal->h7k_audit->direct->h7j,10,9.7411,12.330400000000001,10.46955,10.343399999999999,0.8490843768247582,0.8388535651722571,1.0747810822186405,0.9879507715231313
1,32,2,h7k_minimal->direct->h7k_audit->h7j,10,9.6424,14.31615,11.06,11.701799999999999,0.7725540735463096,0.8173845621902536,1.1470173400813075,1.0580289330922241
1,32,3,h7j->direct->h7k_minimal->h7k_audit,10,10.189350000000001,16.70195,10.58175,10.8504,0.6335637455506692,0.6496486937154046,1.038510798039129,1.0253880501807358
1,32,4,h7k_minimal->h7k_audit->direct->h7j,10,10.36365,14.86835,10.612449999999999,12.26715,0.7137611100088442,0.8250511993597138,1.0240069859557202,1.1559206403799314
1,32,5,h7k_audit->direct->h7j->h7k_minimal,10,9.14415,14.4755,11.419450000000001,11.4099,0.7888812130841768,0.7882214776691652,1.2488257519835086,0.9991637075340756
1,32,6,direct->h7k_minimal->h7k_audit->h7j,10,11.34515,15.24025,13.41065,12.6506,0.8799494758944244,0.8300782467479209,1.1820601754934927,0.943324894766473
1,32,7,h7k_minimal->h7k_audit->h7j->direct,10,9.76005,13.699750000000002,11.95385,12.96685,0.8725597182430335,0.946502673406449,1.2247734386606626,1.08474257247665
1,32,8,h7j->direct->h7k_audit->h7k_minimal,10,10.0086,13.3,11.3097,11.3446,0.8503533834586465,0.8529774436090225,1.1299982015466699,1.0030858466625994
1,32,9,h7k_minimal->h7k_audit->h7j->direct,10,10.992049999999999,13.9822,10.26245,12.4226,0.7339653273447668,0.8884581825463803,0.9336247560737079,1.2104906723053461
4,64,0,direct->h7j->h7k_audit->h7k_minimal,10,17.5989,21.50365,18.95475,17.79545,0.8814666347341032,0.8275548569661428,1.0770417469273648,0.9388385497039
4,64,1,h7j->h7k_audit->direct->h7k_minimal,10,13.4714,21.4877,14.95065,16.65005,0.6957771190029645,0.7748642246494506,1.1098067016048816,1.1136672987462084
4,64,2,h7k_audit->direct->h7j->h7k_minimal,10,11.1796,13.4215,14.54535,13.6205,1.0837350519688558,1.0148269567485004,1.3010617553400836,0.9364161054907583
4,64,3,h7k_audit->h7k_minimal->h7j->direct,10,13.4131,18.53485,14.11345,14.32065,0.7614547730356599,0.7726337143273349,1.052213880460147,1.014681031214905
4,64,4,h7k_audit->h7k_minimal->direct->h7j,10,12.637,16.2878,13.31095,14.01165,0.8172343717383563,0.8602543007649897,1.0533314869035373,1.0526408708619595
4,64,5,direct->h7j->h7k_audit->h7k_minimal,10,13.21895,14.64875,12.95165,12.49075,0.8841471115282875,0.8526836760815769,0.9797790293480194,0.96441380055823
4,64,6,h7k_minimal->h7j->h7k_audit->direct,10,13.70985,17.092399999999998,14.02945,13.14765,0.8208004727247199,0.7692102922936511,1.023311706546753,0.9371465025357373
4,64,7,h7j->direct->h7k_minimal->h7k_audit,10,13.56865,16.8382,14.151299999999999,13.850549999999998,0.8404283118148019,0.8225671390053567,1.0429408968467755,0.9787475355621038
4,64,8,h7j->direct->h7k_minimal->h7k_audit,10,12.66095,15.5608,11.7634,12.64,0.7559637036656214,0.8122975682484191,0.9291087951536023,1.0745192716391518
4,64,9,h7k_audit->h7j->h7k_minimal->direct,10,11.674800000000001,15.9632,12.501249999999999,13.2197,0.7831293224416156,0.8281359627142427,1.070789221228629,1.0574702529747027
8,128,0,h7j->direct->h7k_audit->h7k_minimal,10,45.91985,52.7629,46.6802,48.002,0.8847163442494631,0.9097680377689626,1.0165581986874959,1.0283160740528106
8,128,1,h7k_minimal->h7k_audit->h7j->direct,10,46.4125,52.927350000000004,46.0411,52.3453,0.8698924091230714,0.9890028501332486,0.9919978454080258,1.13692548614173
8,128,2,h7k_audit->direct->h7j->h7k_minimal,10,41.1282,49.64025,46.6736,48.772099999999995,0.9402370052527939,0.9825111678527,1.1348320616997583,1.0449611771965306
8,128,3,h7k_audit->h7k_minimal->direct->h7j,10,41.518550000000005,53.02145,42.902,46.44005,0.809144223705689,0.8758728778635816,1.0333212503808538,1.0824681833014778
8,128,4,h7k_audit->direct->h7j->h7k_minimal,10,40.7825,52.3429,47.73545,43.97135,0.9119756452164477,0.8400633132669378,1.170488567400233,0.921146653063918
8,128,5,h7j->h7k_minimal->h7k_audit->direct,10,46.983850000000004,53.35195,48.6225,48.83655,0.911353755579693,0.9153657926280108,1.0348768779059188,1.004402282893722
8,128,6,h7k_minimal->h7k_audit->h7j->direct,10,45.787499999999994,51.9851,46.6743,52.278949999999995,0.8978399579879619,1.005652581220388,1.0193677313677316,1.1200800011998036
8,128,7,h7j->h7k_audit->h7k_minimal->direct,10,47.3214,50.59695,45.3752,44.270849999999996,0.8967971389579806,0.8749707245199562,0.9588727298854218,0.9756618152647261
8,128,8,h7k_audit->h7j->direct->h7k_minimal,10,43.4392,44.3529,44.206900000000005,46.87035,0.9967082197556418,1.0567595354531496,1.017672977402899,1.0602496442862992
8,128,9,direct->h7k_audit->h7j->h7k_minimal,10,38.48295,49.999449999999996,46.17425,42.84145,0.923495158446743,0.8568384252226775,1.199862536525916,0.9278212423591071
