profile,median_speedup,min_speedup,max_speedup,speedup_trials,trials,median_validation_share
B1x3x32x32,1.1662186123662988,0.9780335628227195,1.3507237876889446,4,5,0.14078536962491003
B4x3x64x64,1.0957919945261718,1.0008534298829765,1.2210707175389313,5,5,0.07221522270807085
B8x3x128x128,0.9608968935090052,0.9074540793374634,1.0092945798651503,1,5,0.016362877568386423
