policy,tp,fp,fn,tn,safe_recall,unsafe_false_accepts,unsafe_plan_selections,benefit_positive_safe_workloads,mean_human_oracle_benefit_coverage
fail_closed,0,0,2,3,0.0,0,0,2,0.0
registry_only,1,0,1,3,0.5,0,0,2,0.5
static_only,2,0,0,3,1.0,0,0,2,1.0
dynamic_only,2,3,0,0,1.0,3,3,2,1.0
hybrid,2,0,0,3,1.0,0,0,2,1.0
manual_hint,2,0,0,3,1.0,0,0,2,1.0
human_oracle,2,0,0,3,1.0,0,0,2,1.0
