batch_size,h7l_issue_per_sample_ms,h7m_issue_per_sample_ms,h7l_consume_per_sample_ms,h7m_consume_per_sample_ms,median_h7m_over_h7l_consumer,h7l_wire_bytes_per_sample,h7m_wire_bytes_per_sample,rounds
1,3.6949,3.66825,3.65705,7.0676000000000005,1.9109645868953173,1021.0,1297.0,10
4,3.7492875,0.9698,3.83795,1.8524875,0.48830195733920495,1021.0,1072.25,10
16,3.970625,0.29881875,4.17139375,0.5638624999999999,0.13785284877305862,1021.75,1156.3125,10
64,4.08781640625,0.11611796875,4.21685234375,0.21653125,0.052734001245508956,1022.6875,1317.078125,10
